,Ana Pinzon Dep 1:RASI,,Ana Pinzon Dep 1:RPSI,,Ana Pinzon Dep 1:RTHI,,Ana Pinzon Dep 1:RKNE,,Ana Pinzon Dep 1:RTIB,,Ana Pinzon Dep 1:RANK,,Ana Pinzon Dep 1:RHEE,,Ana Pinzon Dep 1:RTOE,
Frame,X,Z,X,Z,X,Z,X,Z,X,Z,X,Z,X,Z,X,Z
,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
79,-176.824493,1274.177246,-377.436188,1287.75061,-239.927338,968.158081,-265.255615,811.050232,-312.559387,618.491089,-342.483612,424.155182,-395.503693,390.611694,-183.921738,379.735138
80,-175.859573,1273.942139,-376.437103,1288.038452,-239.292587,967.962463,-264.817047,811.002869,-312.267059,618.503418,-342.453918,424.180023,-395.507568,390.620392,-183.899887,379.675262
81,-174.856689,1273.703613,-375.399872,1288.305908,-238.612259,967.764526,-264.332214,810.945312,-311.949249,618.513977,-342.421844,424.205353,-395.510651,390.627441,-183.874191,379.612122
82,-173.815552,1273.46167,-374.325165,1288.551514,-237.889664,967.568115,-263.800018,810.877563,-311.606567,618.523193,-342.38797,424.231201,-395.513245,390.632538,-183.846375,379.549713
83,-172.735641,1273.216553,-373.213562,1288.774902,-237.128006,967.376465,-263.21994,810.7995,-311.239502,618.53064,-342.352997,424.257599,-395.516083,390.635468,-183.818497,379.491913
84,-171.616531,1272.96814,-372.065399,1288.97522,-236.329865,967.191772,-262.591309,810.711609,-310.848419,618.535522,-342.317352,424.284912,-395.519836,390.6362,-183.79277,379.442108
85,-170.457748,1272.716675,-370.880768,1289.15271,-235.496628,967.014771,-261.912537,810.614441,-310.432709,618.536621,-342.281403,424.313293,-395.52536,390.634918,-183.771271,379.40274
86,-169.25914,1272.46228,-369.659607,1289.307739,-234.62767,966.845398,-261.180756,810.507874,-309.990631,618.531738,-342.245117,424.343231,-395.533569,390.631805,-183.756012,379.375641
87,-168.020798,1272.205078,-368.401703,1289.44043,-233.720062,966.681824,-260.390869,810.391479,-309.51886,618.518616,-342.208191,424.374817,-395.545227,390.626953,-183.748718,379.361877
88,-166.74321,1271.945679,-367.10675,1289.551636,-232.768112,966.521667,-259.535034,810.263672,-309.012268,618.493835,-342.1698,424.408234,-395.561096,390.620544,-183.750916,379.361816
